t,x,y,theta
1527990522.752315513,-87.4890813401,96.5342843653,-1.2291488286
1527990522.885502620,-87.4318364443,96.3771810168,-1.22647299225
1527990523.19028026,-87.3695538401,96.2131736478,-1.22205274982
1527990523.152262078,-87.3052029074,96.0411837369,-1.22789394571
1527990523.285488009,-87.238361112,95.8619778,-1.23153281167
1527990523.419497217,-87.1710131862,95.6716061475,-1.23858531405
1527990523.486096179,-87.135870971,95.5770876678,-1.23793420106
1527990523.553695824,-87.0969108046,95.4799080797,-1.23537248156
1527990523.685883334,-87.0257401565,95.2930967159,-1.23562438737
1527990523.819216188,-86.9562789629,95.1024250471,-1.2370538847
1527990523.952346534,-86.8909639448,94.9137185291,-1.2471786205
1527990524.85772339,-86.8257372914,94.7244247249,-1.25215975512
1527990524.152288040,-86.7902053142,94.6296642856,-1.2541152753
1527990524.219005243,-86.7539526385,94.5350239145,-1.25411557346
1527990524.352337542,-86.6927148196,94.3469379745,-1.24961475015
1527990524.419135910,-86.6588462099,94.2504839136,-1.25006712962
1527990524.552477548,-86.5908588414,94.0615970403,-1.25871844265
1527990524.685938623,-86.5227657401,93.8710562737,-1.26394398263
1527990524.819529354,-86.4634847553,93.6814090195,-1.25721249534
1527990524.952397317,-86.3959542741,93.492246406,-1.25312510868
1527990525.19127560,-86.3615902649,93.3969711684,-1.25707097639
1527990525.152380564,-86.3024387605,93.2133310191,-1.2628447408
1527990525.285557300,-86.2398828906,93.0363152679,-1.25971748816
1527990525.419127309,-86.1748559929,92.8633801777,-1.24820922097
1527990525.552650106,-86.1152969032,92.6898401316,-1.2443051409
1527990525.686138689,-86.0514195673,92.5234800342,-1.24479969088
1527990525.819286305,-85.99692204,92.3585849035,-1.25794711321
1527990525.952340567,-85.9445068962,92.2041845857,-1.25811154064
1527990526.85660099,-85.8992259123,92.0576980701,-1.25728880817
1527990526.219574971,-85.8539837118,91.9110681357,-1.26012353075
1527990526.352357425,-85.8128901227,91.7805054713,-1.25737563556
1527990526.485609639,-85.7733816398,91.6558319039,-1.26050016999
1527990526.618971116,-85.7364143022,91.5368839285,-1.25772880984
1527990526.752337824,-85.6988344756,91.4236980643,-1.24891374129
1527990526.952492708,-85.6528577254,91.2955151258,-1.24593028455
1527990527.152502639,-85.598007012,91.1707580927,-1.24159484
1527990527.352734684,-85.563887809,91.0751567684,-1.23582010286
1527990527.552880356,-85.5183674069,90.9707640322,-1.24390525261
1527990527.753509724,-85.4709196979,90.8485175885,-1.2523323821
1527990527.952736653,-85.4207574673,90.7341648834,-1.25212551354
1527990528.219491857,-85.3698865012,90.611562928,-1.25693735085
1527990528.419499274,-85.3108341434,90.4957722339,-1.26430140752
1527990528.619550585,-85.2631242302,90.3661350789,-1.27035786331
1527990528.819668997,-85.2092172073,90.2498102031,-1.28370272524
1527990529.19902786,-85.1700985771,90.1409289211,-1.29010111384
1527990529.285894959,-85.1242156305,90.0355555412,-1.28738243957
1527990532.486328704,-85.1029605231,89.9786994861,-1.40241434667
1527990532.686894185,-85.0952283158,89.9800972779,-1.52648394022
1527990532.885793791,-85.092289484,89.9807747057,-1.64154380837
1527990533.219823927,-85.0869976836,89.9807895711,-1.74955295775
1527990533.952550778,-85.0979973121,89.8714587852,-1.63732421534
1527990534.219445298,-85.0885418593,89.7698808911,-1.50725472659
1527990534.620313616,-85.0711015666,89.6596435669,-1.422877921
1527990536.753264751,-85.0555761137,89.6038071076,-1.53615235534
1527990536.953231385,-85.0545512877,89.6051196176,-1.65343706782
1527990537.152902133,-85.0502173805,89.6061284169,-1.78337371239
1527990537.486742123,-85.0491282646,89.6077811363,-1.89936699468
1527990538.286076204,-85.0788285461,89.5148649494,-1.9200507568
1527990538.619537764,-85.1131954032,89.4098138866,-1.909517471
1527990538.886720901,-85.1464738801,89.2912787979,-1.88433679133
1527990539.85831944,-85.1760096303,89.1790018793,-1.84756137674
1527990539.286030780,-85.2000366579,89.0426212375,-1.78023625138
1527990539.419357518,-85.213835961,88.9427938683,-1.73424429993
1527990539.552865942,-85.2191697943,88.8344907742,-1.68274737726
1527990539.686441412,-85.2247708532,88.7146491113,-1.63580261137
1527990539.819693119,-85.223383834,88.5869530947,-1.59404920162
1527990539.953017992,-85.219138807,88.451300804,-1.56602599201
1527990540.86205315,-85.2007437649,88.3055399631,-1.5408887835
1527990540.220224423,-85.1890698805,88.1650886169,-1.52612809362
1527990540.353614367,-85.1680655748,88.0295111601,-1.52224692934
